train_input_1,train_input_2,train_input_3,train_input_4,train_input_5,train_output_1
80,70,60,50,85,Student has a A grade.
80,70,60,50,80,Student has a A grade.
80,70,60,50,79,Student has a B grade.
80,70,60,50,75,Student has a B grade.
80,70,60,50,70,Student has a B grade.
80,70,60,50,69,Student has a C grade.
80,70,60,50,65,Student has a C grade.
80,70,60,50,60,Student has a C grade.
80,70,60,50,59,Student has a D grade.
80,70,60,50,55,Student has a D grade.
80,70,60,50,50,Student has a D grade.
80,70,60,50,49,Student has a F grade.
80,70,60,50,45,Student has a F grade.
90,80,70,60,100,Student has a A grade.
90,80,70,60,0,Student has a F grade.
4,3,2,1,5,Student has a A grade.
4,3,2,1,4,Student has a A grade.
4,3,2,1,3,Student has a B grade.
4,3,2,1,2,Student has a C grade.
4,3,2,1,1,Student has a D grade.
4,3,2,1,0,Student has a F grade.
100,99,98,97,100,Student has a A grade.
100,99,98,97,99,Student has a B grade.
100,99,98,97,98,Student has a C grade.
100,99,98,97,97,Student has a D grade.
100,99,98,97,96,Student has a F grade.
98,48,27,3,55,Student has a B grade.
98,48,27,3,14,Student has a D grade.
98,48,27,3,1,Student has a F grade.
45,30,27,0,1,Student has a D grade.
45,30,27,0,0,Student has a D grade.
48,46,44,42,40,Student has a F grade.
48,46,44,42,41,Student has a F grade.
48,46,44,42,42,Student has a D grade.
48,46,44,42,43,Student has a D grade.
48,46,44,42,44,Student has a C grade.
48,46,44,42,45,Student has a C grade.
48,46,44,42,46,Student has a B grade.
48,46,44,42,47,Student has a B grade.
48,46,44,42,48,Student has a A grade.
48,46,44,42,49,Student has a A grade.
68,67,59,35,10,Student has a F grade.
71,55,29,22,15,Student has a F grade.
85,45,42,39,59,Student has a B grade.
82,28,15,1,90,Student has a A grade.
100,99,72,27,72,Student has a C grade.
99,36,31,18,35,Student has a C grade.
99,68,67,10,56,Student has a D grade.
80,41,40,4,84,Student has a A grade.
47,36,23,0,0,Student has a D grade.
64,60,29,19,75,Student has a A grade.
100,83,69,10,70,Student has a C grade.
97,92,91,59,63,Student has a D grade.
52,48,10,4,41,Student has a C grade.
96,70,44,32,18,Student has a F grade.
59,23,11,6,19,Student has a C grade.
74,72,40,38,44,Student has a C grade.
68,45,39,29,89,Student has a A grade.
89,80,72,1,20,Student has a D grade.
75,71,27,6,61,Student has a C grade.
89,60,53,49,55,Student has a C grade.
97,60,37,0,97,Student has a A grade.
52,49,43,9,86,Student has a A grade.
68,56,34,10,29,Student has a D grade.
92,75,59,1,49,Student has a D grade.
84,35,29,17,88,Student has a A grade.
80,41,27,22,95,Student has a A grade.
85,71,65,49,82,Student has a B grade.
98,96,84,17,66,Student has a D grade.
98,61,28,19,38,Student has a C grade.
71,34,33,3,49,Student has a B grade.
85,69,35,11,67,Student has a C grade.
78,57,47,15,61,Student has a B grade.
95,94,45,31,32,Student has a D grade.
100,63,50,25,57,Student has a C grade.
68,58,39,11,19,Student has a D grade.
55,33,6,4,15,Student has a C grade.
58,39,37,22,66,Student has a A grade.
73,53,30,12,10,Student has a F grade.
96,53,45,6,9,Student has a D grade.
70,49,41,29,62,Student has a B grade.
78,57,11,10,73,Student has a B grade.
98,96,55,43,36,Student has a F grade.
74,45,17,11,28,Student has a C grade.
69,56,29,15,60,Student has a B grade.
78,40,35,20,20,Student has a D grade.
84,37,10,6,74,Student has a B grade.
87,33,18,13,25,Student has a C grade.
74,55,52,23,69,Student has a B grade.
87,74,59,51,55,Student has a D grade.
66,59,17,13,16,Student has a D grade.
78,77,67,45,76,Student has a C grade.
38,35,25,15,63,Student has a A grade.
100,44,11,2,54,Student has a B grade.
98,72,51,35,85,Student has a B grade.
69,38,22,2,73,Student has a A grade.
78,44,19,15,42,Student has a C grade.
61,59,53,48,65,Student has a A grade.
88,86,51,34,82,Student has a C grade.
70,65,58,57,88,Student has a A grade.
93,89,32,2,42,Student has a C grade.
49,48,39,34,48,Student has a B grade.
74,46,18,17,51,Student has a B grade.
87,57,54,40,65,Student has a B grade.
95,72,28,21,37,Student has a C grade.
76,65,64,47,16,Student has a F grade.
89,66,57,33,92,Student has a A grade.
83,71,25,24,81,Student has a B grade.
93,62,35,2,7,Student has a D grade.
95,81,44,39,1,Student has a F grade.
47,18,6,3,64,Student has a A grade.
93,74,42,2,63,Student has a C grade.
90,80,6,0,22,Student has a C grade.
93,73,63,48,41,Student has a F grade.
81,72,58,21,62,Student has a C grade.
66,63,27,14,22,Student has a D grade.
69,37,32,21,3,Student has a F grade.
93,67,60,51,59,Student has a D grade.
89,51,34,23,19,Student has a F grade.
92,71,69,64,61,Student has a F grade.
100,98,15,14,13,Student has a F grade.
87,68,5,1,86,Student has a B grade.
98,87,17,16,61,Student has a C grade.
75,58,13,2,75,Student has a A grade.
96,92,59,8,4,Student has a F grade.
99,76,57,18,91,Student has a B grade.
95,46,23,14,42,Student has a C grade.
29,24,5,1,73,Student has a A grade.
91,87,50,30,59,Student has a C grade.
91,81,62,20,1,Student has a F grade.
73,67,51,16,11,Student has a F grade.
79,78,49,4,44,Student has a D grade.
90,24,2,1,92,Student has a A grade.
70,68,52,38,56,Student has a C grade.
69,64,38,14,35,Student has a D grade.
93,63,55,41,48,Student has a D grade.
63,22,15,7,84,Student has a A grade.
72,71,61,21,55,Student has a D grade.
83,75,68,61,50,Student has a F grade.
98,47,42,17,10,Student has a F grade.
88,39,35,0,88,Student has a A grade.
84,76,69,22,80,Student has a B grade.
88,72,39,20,28,Student has a D grade.
92,48,44,5,75,Student has a B grade.
86,56,40,35,71,Student has a B grade.
76,43,34,25,37,Student has a C grade.
94,68,61,41,87,Student has a B grade.
47,36,30,28,29,Student has a D grade.
66,48,46,43,20,Student has a F grade.
93,62,56,5,10,Student has a D grade.
92,62,48,1,14,Student has a D grade.
74,71,67,23,60,Student has a D grade.
86,73,53,46,37,Student has a F grade.
88,67,23,16,15,Student has a F grade.
67,53,37,18,27,Student has a D grade.
55,49,39,38,39,Student has a C grade.
58,51,18,9,91,Student has a A grade.
97,67,22,2,67,Student has a B grade.
86,72,53,16,69,Student has a C grade.
79,65,51,22,49,Student has a D grade.
63,36,9,0,67,Student has a A grade.
49,44,13,9,89,Student has a A grade.
64,42,41,1,21,Student has a D grade.
91,38,22,10,33,Student has a C grade.
85,79,64,16,97,Student has a A grade.
82,69,20,3,16,Student has a D grade.
82,54,38,7,37,Student has a D grade.
63,48,46,4,62,Student has a B grade.
83,80,46,37,86,Student has a A grade.
77,71,34,29,42,Student has a C grade.
77,68,60,53,46,Student has a F grade.
78,66,51,2,54,Student has a C grade.
39,31,25,23,91,Student has a A grade.
87,63,57,23,94,Student has a A grade.
58,35,24,11,63,Student has a A grade.
63,55,50,19,34,Student has a D grade.
95,78,41,34,95,Student has a A grade.
63,38,9,8,60,Student has a B grade.
95,79,63,26,51,Student has a D grade.
88,78,44,12,69,Student has a C grade.
87,65,61,23,72,Student has a B grade.
61,34,9,3,16,Student has a C grade.
69,48,39,37,93,Student has a A grade.
100,99,12,4,98,Student has a C grade.
81,80,33,4,41,Student has a C grade.
98,55,36,35,38,Student has a C grade.
96,34,22,21,35,Student has a B grade.
97,41,26,13,40,Student has a C grade.
71,50,13,4,84,Student has a A grade.
89,62,25,12,74,Student has a B grade.
96,88,24,12,69,Student has a C grade.
68,60,22,17,60,Student has a B grade.
94,83,40,28,24,Student has a F grade.
74,60,44,23,97,Student has a A grade.
50,18,2,1,53,Student has a A grade.
100,96,57,29,77,Student has a C grade.
87,52,27,17,86,Student has a B grade.
79,77,47,20,83,Student has a A grade.
65,44,27,24,58,Student has a B grade.
77,61,22,7,58,Student has a C grade.