train_input_1,train_input_2,train_output_1
[],[],true
[1],[1],true
[1],[0],false
[0],[1],false
[16],[-44],false
[-12],[-13],false
[1 2],[2 1],true
[1 1],[0 1],false
[7 0],[0 7],true
[5 8],[5 8],false
[34 12],[34 12],false
[456 456],[456 456],true
[-431 -680],[40 831],false
[1 2 1],[1 2 1],true
[1 2 3 4 5 4 3 2 1],[1 2 3 4 5 4 3 2 1],true
[45 99 0 12 44 7 7 44 12 0 99 45],[45 99 0 12 44 7 7 44 12 0 99 45],true
[24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],[24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24],true
[33 45 -941],[33 45 -941],false
[33 45 -941],[33 -941 45],false
[33 45 -941],[45 33 -941],false
[33 45 -941],[45 -941 33],false
[33 45 -941],[-941 33 45],false
[33 45 -941],[-941 45 33],true
[682 -756 -505 -487 946 -488 533 721 -511 428 -166 -686 -518 -676 -294 -433 -700 678 949 -520 -214 -322 510 -718 621 -615 559 40 52 -947 646 138 -371 975 -353 240 95],[95 240 -353 975 -371 138 646 -947 52 40 559 -615 621 -718 510 -322 -214 -520 949 678 -700 -433 -294 -676 -518 -686 -166 428 -511 721 533 -488 946 -487 -505 -756 682],true
[670 -424 -1000 -10 -592 641 414 493 -659 -573 250 239 -380 -104 -622 -727 603 17 986 847 -215 716 946 -629 -834 -21 495 -252 388 -345 491 -748 -708 971 299 -448 356 773 28],[28 773 356 -448 299 971 -708 -748 491 -345 388 -252 495 -21 -834 -629 946 716 -215 847 986 17 603 -727 -622 -104 -380 239 250 -573 -659 493 414 641 -592 -10 -1000 -424 670],true
[-378 966 -777 960 -963 -70 646 142 -829 -475 -624 736 -581 -123 130 516 -443 467],[467 -443 516 130 -123 -581 736 -624 -475 -829 142 646 -70 -963 960 -777 966 -378],true
[932 -145 -265 583 -266 236 -737 719 -764 -873 -3 348 -15 582 -125 -83 696 312 741 799 -489 -857 -858 -175 871 -83 -179 -601 -319 55 -861 467 774 323 -538 275 962 -93 398 779 -541 -481 -805 236 -939],[-939 236 -805 -481 -541 779 398 -93 962 275 -538 323 774 467 -861 55 -319 -601 -179 -83 871 -175 -858 -857 -489 799 741 312 696 -83 -125 582 -15 348 -3 -873 -764 719 -737 236 -266 583 -265 -145 932],true
[908 356 -673 527 -216 -174 231 -757 625 377 -691 -281 381 844 -929 -53 -43 -910 -716 -480 -459 -595 661 381 274 -895 -294 -685 76 51 -526 652 -820 18 -858 141 -231 685 -241 -809 151 561 302 -323 -167 -965 -212 770 -233],[-233 770 -212 -965 -167 -323 302 561 151 -809 -241 685 -231 141 -858 18 -820 652 -526 51 76 -685 -294 -895 274 381 661 -595 -459 -480 -716 -910 -43 -53 -929 844 381 -281 -691 377 625 -757 231 -174 -216 527 -673 356 908],true
[550 -495 -675 839 986 -117 -73 326 -840 -744 938 -770 161 772 908 714 -274 996 455 935 -810 226 -45 271 -202 -689 383],[383 -689 -202 271 -45 226 -810 935 455 996 -274 714 908 772 161 -770 938 -744 -840 326 -73 -117 986 839 -675 -495 550],true
[581 -867 -951 403 -296 -759 591 303 -688 339 466 537 -917 -221 -349 -419 -483 220 -776 210 557 -924],[-924 557 210 -776 220 -483 -419 -349 -221 -917 537 466 339 -688 303 591 -759 -296 403 -951 -867 581],true
[-34 216 -465 -545 -334 -444 550],[550 -444 -334 -545 -465 216 -34],true
[-934 -347 419 -93 541],[541 -93 419 -347 -934],true
[953 164 -499 668 306 362 864 -278],[-278 864 362 306 668 -499 164 953],true
[-697 -512 -792 -563 -130 -191 -989 787 815 754 -537 -667 -662],[-662 -667 -537 754 815 787 -989 -191 -130 -563 -792 -512 -697],true
[-59 633 -575 813 890 785 530 -632 726 395 502 -703 -730 -808 966 139 523 -900 -726 498 -74 24 -28 246 965 -938 -94 -343 -364 297 255 348 -708],[-708 348 255 297 -364 -343 -94 -938 965 246 -28 24 -74 498 -726 -900 523 139 966 -808 -730 -703 502 395 726 -632 530 785 890 813 -575 633 -59],true
[420 -957 684 -641 477 -883 -367 -417 269 -44 822 194 -79 -551 874 -310 -578 608 -328 -946 -865 -901 114 -976 123 -798 495 542 -641 -750 -434 -372 -812 406 745 100 -6 718 -645 -575 -63 -314],[-314 -63 -575 -645 718 -6 100 745 406 -812 -372 -434 -750 -641 542 495 -798 123 -976 114 -901 -865 -946 -328 608 -578 -310 874 -551 -79 194 822 -44 269 -417 -367 -883 477 -641 684 -957 420],true
[524 803],[803 524],true
[139 719 -750 -519],[-519 -750 719 139],true
[989 946 -162 -528 343 536 -216 -246 62 805 926 311 936 -968 217 -51 -858 -84 678 -112 -967 79 -432 -956 -543 -246 140 16],[16 140 -246 -543 -956 -432 79 -967 -112 678 -84 -858 -51 217 -968 936 311 926 805 62 -246 -216 536 343 -528 -162 946 989],true
[-254 -304 244 804 361 -498 472 -414 907],[907 -414 472 -498 361 804 244 -304 -254],true
[248 265 734 615 911 -472 415 883 -930 507 51 -579 -959 512 12 107 -971],[-971 107 12 512 -959 -579 51 507 -930 883 415 -472 911 615 734 265 248],true
[375 -502 -479 -383 203 -73 -507 749 394 911 -439 -710 -976 274 349 525 -889 505 961 -675 248 585 764 -270 -741 562 -137 850 -431 860 527 -645 700 -624 944 789 595 -295 91 547],[547 91 -295 595 789 944 -624 700 -645 527 860 -431 850 -137 562 -741 -270 764 585 248 -675 961 505 -889 525 349 274 -976 -710 -439 911 394 749 -507 -73 203 -383 -479 -502 375],true
[-277 -911 -996 -449 535 888 -819 73 998 890 762 660 213 655 512 245 730 -172 -482 -552 -341 288 -113 421 -200 -892 968 -395 -759],[-759 -395 968 -892 -200 421 -113 288 -341 -552 -482 -172 730 245 512 655 213 660 762 890 998 73 -819 888 535 -449 -996 -911 -277],true
[310 -679 -415 338 -275 65 876 662 -697 -460 -968 -839 442 -409 -529 124 206 471 764 -65],[-65 764 471 206 124 -529 -409 442 -839 -968 -460 -697 662 876 65 -275 338 -415 -679 310],true
[-192 -847 359 683 -658 -701 504 29 428 364 49 257 -663 -105],[-105 -663 257 49 364 428 29 504 -701 -658 683 359 -847 -192],true
[93 844 725 -696 920 919 30 -480 -717 -667 94 -676 730 -197 165 -223 788 981 -385 609 -180 708 885 -960 486 679 -134 204 680 556 -114 604 633 -393],[-393 633 604 -114 556 680 204 -134 679 486 -960 885 708 -180 609 -385 981 788 -223 165 -197 730 -676 94 -667 -717 -480 30 919 920 -696 725 844 93],true
[-993 460 499 854 796 -302 -9 -411 529 787 719 885 -587 810 449 -290 16 788 900 -544 780 108 -830 -259 -684 280 998],[998 280 -684 -259 -830 108 780 -544 900 788 16 -290 449 810 -587 885 719 787 529 -411 -9 -302 796 854 499 460 -993],true
[605 648 14 589 16 -236 724 -694 85 -947 7 -131 -261 843 339 -82],[-82 339 843 -261 -131 7 -947 85 -694 724 -236 16 589 14 648 605],true
[968 -63 661 -269 289 -889 -353 641 295 814 36 -768 -132 876],[876 -132 -768 36 814 295 641 -353 -889 289 -269 661 -63 968],true
[-897 939 -451 -865 -123 534 943 428],[428 943 534 -123 -865 -451 939 -897],true
[-953 60 -279 619 966 606 829 -116 -802],[-802 -116 829 606 966 619 -279 60 -953],true
[371 -894 752 -614 -208 968 -561 -293 -45 527 424 914 760 656 286 -609 124 247 784 -657 -924 -552 -412 231 -925 10 522 -622 -175 -566 -92 999 -610 392],[392 -610 999 -92 -566 -175 -622 522 10 -925 231 -412 -552 -924 -657 784 247 124 -609 286 656 760 914 424 527 -45 -293 -561 968 -208 -614 752 -894 371],true
[643 -350 -391 286 138 -660 -244 -148 -470 976 -168 -456 -982 523 94 -367 -50 -881 9 -289 -337 891 -219 747 562 769 265 895 477 -66 632 516 606 469 106 273 -460 -933 -105 -781 553 -762 -576 141 -784 -264 720 321 564 -671],[-671 564 321 720 -264 -784 141 -576 -762 553 -781 -105 -933 -460 273 106 469 606 516 632 -66 477 895 265 769 562 747 -219 891 -337 -289 9 -881 -50 -367 94 523 -982 -456 -168 976 -470 -148 -244 -660 138 286 -391 -350 643],true
[543 616 591 933 -834 281 758 -149 845 -223 -792 433 -469 411 -520 -396 307 927 265 -162 795 918 281 -290 -894 -382 748 26 -658 -669 -316 953],[953 -316 -669 -658 26 748 -382 -894 -290 281 918 795 -162 265 927 307 -396 -520 411 -469 433 -792 -223 845 -149 758 281 -834 933 591 616 543],true
[979 933 466 682 515 -54 -614 853 409 -216 -934 621 -907 -598 639 -357 392 464 -702 899 906 973 419 -843 191 -842 -490 676 -190 -963 -82 42 -122 -717 -825 930],[930 -825 -717 -122 42 -82 -963 -190 676 -490 -842 191 -843 419 973 906 899 -702 464 392 -357 639 -598 -907 621 -934 -216 409 853 -614 -54 515 682 466 933 979],true
[398 863 -388 117 490 -912 -131 -791 -295 444 -587 -150 323 783 565 -998 592 -439 -471 598 677 74 821 -684 -381 -853 -193 -941 121 222 765 -728 298 -189 -250 228 -739 -707],[-707 -739 228 -250 -189 298 -728 765 222 121 -941 -193 -853 -381 -684 821 74 677 598 -471 -439 592 -998 565 783 323 -150 -587 444 -295 -791 -131 -912 490 117 -388 863 398],true
[559 205 -97 -851 -911 -921 -370 107 -901 165 -827 328 -268 -598 -147 -853 461 -413 330 43 -189 -504 -945],[-945 -504 -189 43 330 -413 461 -853 -147 -598 -268 328 -827 165 -901 107 -370 -921 -911 -851 -97 205 559],true
[761 61 -617 937 -427 -183 321 -327 -73],[-73 -327 321 -183 -427 937 -617 61 761],true
[243 -935 -66 -90 -878 -39],[-39 -878 -90 -66 -935 243],true
[782 -533 504 879 558 -661 -510 167 202 886 -792 338 -387 127 811 545 484 -138 362 -679 89 -318 628 937 -842],[-842 937 628 -318 89 -679 362 -138 484 545 811 127 -387 338 -792 886 202 167 -510 -661 558 879 504 -533 782],true
[674 -718 446 -563 -572 -178 -352 581 2 -922 671 527 -279 -555 -536 -483 998 -234],[674 -718 446 -563 -572 -178 -352 581 2 -922 671 527 -279 -555 -536 -483 998 -234],false
[950 824 958 575 628 -672 159 31 553 906 -321 655 829 930 473 774 -544 564 -170 -664 950 5 776 -883 216 -319 -470 172 354 -385 857 -143 942 -104 205 518 898 980 835],[950 824 958 575 628 -672 159 31 553 906 -321 655 829 930 473 774 -544 564 -170 -664 950 5 776 -883 216 -319 -470 172 354 -385 857 -143 942 -104 205 518 898 980 835],false
[-215 369 932 -954 227 270],[-215 369 932 -954 227 270],false
[577 177 -233 929 1000 607 670 -786 -16 11 -673 334 -884 900 -230 -698 -494 78 -986 147 558 -423 -523 818 237],[577 177 -233 929 1000 607 670 -786 -16 11 -673 334 -884 900 -230 -698 -494 78 -986 147 558 -423 -523 818 237],false
[-693 561 -614 -223 -265 879 433 112 732 720 -780 -668 288],[-693 561 -614 -223 -265 879 433 112 732 720 -780 -668 288],false
[622 -392 103 159 669 -343 577 -891 716],[622 -392 103 159 669 -343 577 -891 716],false
[861 -471 -101 -786 552 -334 -412 -452 -999 84 466 -349 -10 -162 28 -158 -680],[861 -471 -101 -786 552 -334 -412 -452 -999 84 466 -349 -10 -162 28 -158 -680],false
[-283],[-283],true
[164 527 535 95 976 376 873 -419 190 991 -73 -533 763 -945 188 188 -298 -608 -683 -276 -452 -561 935 161 -582 704 -802 -798 -433 579 243 -182 -185 611 958 89 822 711 345 95 -517 -951],[164 527 535 95 976 376 873 -419 190 991 -73 -533 763 -945 188 188 -298 -608 -683 -276 -452 -561 935 161 -582 704 -802 -798 -433 579 243 -182 -185 611 958 89 822 711 345 95 -517 -951],false
[-525 69 -86 357 -115 -221 198 -287 -218 646 -354 -463 707 340 470],[-525 69 -86 357 -115 -221 198 -287 -218 646 -354 -463 707 340 470],false
[-120 -380 290 115 771 552 -714 -797 -92 356 -960 361 928 420 953 808 400 502 -968],[-968 502 400 -858 547 420 928 361 -960 356 -92 -797 -714 552 771 115 290 -880 -120],false
[-227 465 -131 946 -412 -270 809 -690],[-527 198 -270 -412 -410 -131 626 -227],false
[820 -521 662 -527],[-130 662 -521 820],false
[-519 841 -569 -85 618 524 455 708 -234 393 383 503 410 -746 -280 -5 -331 -140 -426 99 -711],[-711 99 -426 -140 912 -5 -280 -746 410 231 383 393 -234 708 455 524 618 -85 -569 841 -519],false
[819 835 -183 250 153 -340 295 424 -768 76 98 -399 -216 507 168 -541 -25 231 311 350 263 -136 -209 -598 169 997],[997 169 -598 -209 -136 263 350 311 231 -605 -541 168 507 -216 -399 98 76 -768 424 -807 -340 153 250 -183 835 819],false
[-263 376 707 -251 904 682 321 54],[54 321 -736 904 937 707 376 -263],false
[683 999 -520 -449 -277 62 830 354 415 236 527 897],[897 355 236 415 354 -345 62 -277 -449 -520 999 683],false
[-997 -827 -547 444 -324 228 14 -629 644 -26 -832 -742 745 -403 -971],[-831 -403 745 -742 -832 -26 644 -629 14 228 -324 444 -547 -827 362],false
[-198 668 250 -933 564 673 676 -728 -740 -476 -509 720 764 642 421 783 185 619 623 478 -205],[-205 478 623 619 989 783 421 642 764 720 -509 227 -740 -728 676 673 564 -933 642 668 807],false
[577 -314 335 265 -1 515 -623 761 -18 827 -355 307 817 71 -779 -948 213 -787 667],[667 -787 213 -948 -779 71 817 307 -355 796 -950 761 -623 515 -1 265 335 -314 577],false
[-876 412 -228 221 -385 -412 -21 400 321 -12 287 785 429 -216 -95 511 25 843 488 515 999 -971 -484 -704 -28],[327 -704 -484 51 999 515 488 843 25 511 -95 -216 429 785 287 -12 321 400 -21 -506 -385 221 -228 412 -876],false
[610 -184 114 86 129 -817 631 402 564 560 -676 -743 442 747 -823 268 767 -42 385 -39 -896 957 -275 -163 98 -293 -479 51 820 577 -624 -799 612 -677 359 231 600 -532 239 187 -546 -880 -701 614 -495 932 -5 -179],[-179 -5 40 -495 614 -701 -880 -546 187 239 -532 600 231 359 -677 612 -799 -624 577 820 51 -479 -293 98 -163 969 -210 -896 -39 385 -42 767 268 -823 747 442 -743 -676 560 564 402 631 -817 129 86 114 -184 610],false
[-401 997 -423 979 -99 -712 294],[294 -712 -99 979 -684 997 -401],false
[-109 -927 -335],[-335 -208 470],false
[-820 350 731 667 384 212 -122 712 882 -832 653 267 -753 634 245 -953 -135],[-135 -953 245 634 -753 267 653 829 882 61 -198 212 384 667 731 350 -820],false
[-989 540 -844 -260 197 191],[191 197 -131 -844 591 -989],false
[-570 602 574 390 688 -97 -584 -431 969 485 -764 11 487 702 -256 -893 -475 -15 747 795 455 350 -978 347 795 37 -561 870 642 367],[367 642 870 -561 37 91 347 -978 350 455 -453 747 -15 -373 -893 -256 702 910 11 -764 485 969 -431 -584 -97 688 390 875 602 -570],false
[-520 -812 812 -284 -476 -918 -721 99 -990 -52 -774 695],[695 -774 -52 -990 99 -721 -918 -476 -284 -237 -812 -520],false
[714 -385 521 945 -934 -454 743 280 529 -283 883 554 -646 -560 -714 -921 -771 -944 -136 -902 -398 -425 130 -306 -121 230 820 -90 359 -125 -245 420 492 -252 -798 379 -624 97 782 78 384 -224 934],[934 -224 384 78 782 158 -624 379 -798 -252 492 420 -245 -125 359 -90 820 230 -121 -306 130 -425 -436 -902 -136 -944 -771 -921 -714 -560 -646 554 883 -283 191 280 743 -454 -725 945 760 -385 714],false
[-521 -10 532 -291 -312 -348 894 -409 -257 -417 -759 767 127 -110 839 322 -40 884 131],[131 884 -40 -455 839 -110 127 767 -759 -417 -257 -409 894 -348 -57 -291 532 535 -656],false
[356 715 162 -351 331 -425 -767 -203 -745 -244 202 113 -754 -795],[814 727 525 845 -382 813 732 446 -950 -425 58 -169 -376 87],false
[327 441 616 -231 923 340 -420 718 78 -875 -387 615 342 131 237 342 416 -89 -679 108 -192 432 -177 -184 -282 -239 -143 -48 -430 777 901 -938 451 20],[-463 -795 175 -240 456 -471 -861 -821 894 796 619 -140 420 253 -833 -83 -51 150 819 -448 -573 -759 176 -317 345 269 123 525 -507 122 -978 775 -794 325],false
[-52 -624 -989 736 472 791 -184 -139 -17 691 -81 522 196 -392 -886 994 -236 313 0 127 453 -128 -920 204 502 497 58 784 126 -649 -680 480 271 380 -168],[-4 -158 -103 267 494 -686 474 -912 -457 -654 -704 -69 -386 -680 -674 -62 -813 211 161 0 -628 -914 533 -501 -265 974 761 754 197 -453 282 769 249 367 -153],false
[-171 618 -706 -770 -958 -704],[-931 464 -774 -468 -330 -426],false
[-888 171 190 -116 -34 -75 781 116 -407 846 32 -670 612 551 -139 741 -236 626 446 -670 -611 -91 -228 -20 10 736 973 25 -934 -31 -435 -481],[19 -119 -722 -423 -995 -318 757 -35 161 -319 -8 99 -470 -462 -851 -428 354 772 -269 -232 42 904 -438 -66 102 107 550 99 -722 546 -314 632],false
[229 -287 -974 -413 781 100 -860 193 -3 -782 266 -876 -792 -676 -30 -633 -285 597 -112 911 -489 -118 0 -130 -194 107 499],[456 776 -996 -731 152 34 -639 -45 53 -610 997 838 811 976 932 -831 -859 660 -281 217 -497 -79 216 -342 659 -789 889],false
[654 940 -126 -718 424 -129 241 -142 98 -2 -219 -975 -399 377 883 660 171 -439 -171 633 -396 -757 682 38 56 480 95 -316 636 459 292 -908 -481 654 588 -268 83 755 877 -110 -628 984 -390 -451 506 -346 346],[67 811 922 -961 13 -735 501 -936 -468 -838 737 -293 -139 -276 -264 574 -299 -186 592 -175 -245 851 -873 453 315 161 -825 -365 -963 -534 -509 -694 74 838 609 -732 368 -745 339 523 767 -264 -401 196 667 -858 -710],false
[-604 826 89 57 344 -302 746 -941 -120 360 -714 -131 433 -53 192 -654 -479 589 355 41 84 -863 478 54 -726 -796 858 239 985 420 321],[256 748 -459 723 -389 -546 -112 -999 240 -715 95 860 -805 -156 971 -137 550 491 5 -5 -847 -153 -938 -292 -436 197 695 656 885 -507 -251],false
[710],[-752],false
[-828 18 930 -500 712 -927 -913 -560 641 -986 648 244 -111 58 299 623 348 -686 626 -774 844 125 -333 20 732 -336 -91 199 463 444 231 -662 -376 -620],[-926 -540 877 -868 -810 -351 -197 -309 -809 -490 271 -9 -28 -643 239 -986 -994 79 -74 -307 403 122 491 543 -897 -822 330 258 -31 556 -376 -980 720 243],false